id,owner_name,address,county,lat,lon,depth_ft,date_completed
SDR-000001,Smith Farms,4606 Oak Ave,Travis,30.267200,-97.743100,214,2017-01-02
SDR-000002,River City Estates,9774 Maple Rd,Travis,30.123015,-97.902102,658,2012-09-17
SDR-000003,Smith Farms,9295 Oak Ave,Travis,30.079119,-97.855645,617,2024-03-22
SDR-000004,Smith Farms,2715 Maple Rd,Travis,30.235008,-97.763416,384,2019-08-19
SDR-000005,River City Estates,1619 Maple Rd,Travis,30.178349,-97.856974,444,2014-03-03
SDR-000006,Smith Farms,7627 Cedar Ln,Travis,30.210792,-97.805518,370,2014-10-19
SDR-000007,Lone Star Ranch,6025 Cedar Ln,Travis,30.456446,-97.791686,665,2016-04-24
SDR-000008,Lone Star Ranch,1407 Oak Ave,Travis,30.349029,-97.924770,333,2014-04-07
SDR-000009,Metro Water Co,6165 Pecan Dr,Travis,30.219250,-97.761736,473,2016-09-12
SDR-000010,Metro Water Co,8851 Oak Ave,Travis,30.335270,-97.662372,173,2015-08-31
SDR-000011,Hill Country Ranch,5413 Main St,Travis,30.252104,-97.835121,670,2017-02-19
SDR-000012,Lone Star Ranch,1184 Oak Ave,Travis,30.395921,-97.621082,510,2024-09-20
SDR-000013,Plains Cotton,7617 Oak Ave,Travis,30.417747,-97.817229,611,2017-12-09
SDR-000014,Lone Star Ranch,9677 Maple Rd,Travis,30.123052,-97.645104,651,2020-12-15
SDR-000015,Round Rock ISD,1589 Main St,Travis,30.211999,-97.544170,241,2014-06-17
SDR-000016,River City Estates,6404 Maple Rd,Travis,30.128337,-97.879107,532,2022-07-01
SDR-000017,River City Estates,8897 Pecan Dr,Travis,30.278846,-97.554669,111,2019-08-18
SDR-000018,Smith Farms,4415 Cedar Ln,Travis,30.111821,-97.769194,564,2016-01-03
SDR-000019,Hill Country Ranch,2604 Pecan Dr,Travis,30.270273,-97.900536,405,2015-08-16
SDR-000020,Smith Farms,9913 Pecan Dr,Travis,30.282952,-97.631649,643,2022-12-16
SDR-000021,Hill Country Ranch,1049 Oak Ave,Travis,30.074991,-97.571461,414,2024-09-21
SDR-000022,River City Estates,8827 Oak Ave,Travis,30.445980,-97.908839,597,2014-11-17
SDR-000023,Lone Star Ranch,8745 Cedar Ln,Travis,30.331100,-97.564361,269,2021-06-28
SDR-000024,Lone Star Ranch,6637 Pecan Dr,Travis,30.452945,-97.571535,305,2021-10-28
SDR-000025,Hill Country Ranch,1149 Pecan Dr,Travis,30.427046,-97.762506,353,2012-06-21
SDR-000026,Smith Farms,1263 Main St,Travis,30.302523,-97.851054,325,2017-02-18
SDR-000027,River City Estates,8523 Oak Ave,Travis,30.094160,-97.930535,438,2018-03-31
SDR-000028,Round Rock ISD,4081 Maple Rd,Travis,30.334791,-97.857405,235,2021-02-16
SDR-000029,Gulf Coast Water,7039 Maple Rd,Travis,30.143364,-97.904328,541,2022-06-22
SDR-000030,Smith Farms,6696 Pecan Dr,Travis,30.412735,-97.921432,200,2014-06-14
SDR-000031,Metro Water Co,7012 Oak Ave,Travis,30.166663,-97.867016,559,2018-03-31
SDR-000032,Round Rock ISD,9116 Main St,Travis,30.252251,-97.593306,177,2013-02-18
SDR-000033,River City Estates,3972 Oak Ave,Travis,30.328058,-97.726865,115,2021-02-11
SDR-000034,Smith Farms,2797 Maple Rd,Travis,30.261456,-97.857601,510,2012-01-18
SDR-000035,Lone Star Ranch,7030 Cedar Ln,Travis,30.461324,-97.837019,565,2022-11-30
SDR-000036,Smith Farms,5238 Main St,Travis,30.129119,-97.824417,159,2013-02-14
SDR-000037,Metro Water Co,1031 Cedar Ln,Travis,30.300871,-97.741960,643,2013-10-18
SDR-000038,Hill Country Ranch,6715 Main St,Travis,30.407737,-97.915691,169,2024-10-10
SDR-000039,Plains Cotton,9662 Cedar Ln,Travis,30.165686,-97.705292,183,2023-09-22
SDR-000040,Hill Country Ranch,4451 Maple Rd,Travis,30.193748,-97.838794,421,2014-12-08
SDR-000041,Round Rock ISD,5280 Main St,Harris,29.760400,-95.369800,407,2012-03-17
SDR-000042,River City Estates,8908 Oak Ave,Harris,29.743714,-95.170418,202,2023-05-07
SDR-000043,Hill Country Ranch,6154 Pecan Dr,Harris,29.666480,-95.196496,170,2015-07-16
SDR-000044,Smith Farms,9186 Pecan Dr,Harris,29.735674,-95.352513,409,2014-04-28
SDR-000045,River City Estates,9164 Oak Ave,Harris,29.935972,-95.516084,218,2018-02-09
SDR-000046,Hill Country Ranch,4425 Cedar Ln,Harris,29.673103,-95.485548,451,2022-12-16
SDR-000047,River City Estates,7039 Pecan Dr,Harris,29.660849,-95.206536,152,2012-12-27
SDR-000048,Metro Water Co,7339 Cedar Ln,Harris,29.561818,-95.261352,368,2021-08-04
SDR-000049,Smith Farms,6149 Cedar Ln,Harris,29.784763,-95.525050,252,2024-05-23
SDR-000050,Gulf Coast Water,753 Pecan Dr,Harris,29.619638,-95.518822,415,2016-09-16
SDR-000051,Plains Cotton,2632 Oak Ave,Harris,29.833227,-95.303027,462,2015-08-24
SDR-000052,Smith Farms,3038 Pecan Dr,Harris,29.950882,-95.245491,522,2021-03-26
SDR-000053,Lone Star Ranch,2708 Main St,Harris,29.881294,-95.224174,354,2020-07-30
SDR-000054,Hill Country Ranch,7641 Pecan Dr,Harris,29.909267,-95.226363,327,2018-11-05
SDR-000055,Smith Farms,3264 Maple Rd,Harris,29.888615,-95.221271,328,2019-05-13
SDR-000056,Gulf Coast Water,8446 Maple Rd,Harris,29.671841,-95.542032,385,2024-01-10
SDR-000057,Metro Water Co,9612 Pecan Dr,Harris,29.692860,-95.558760,367,2012-11-09
SDR-000058,Plains Cotton,8479 Main St,Harris,29.603761,-95.395974,421,2020-08-21
SDR-000059,Plains Cotton,127 Cedar Ln,Harris,29.920202,-95.493768,145,2024-01-28
SDR-000060,Gulf Coast Water,7166 Main St,Harris,29.835143,-95.193695,301,2019-05-28
SDR-000061,Lone Star Ranch,8408 Pecan Dr,Harris,29.809662,-95.304445,227,2021-02-27
SDR-000062,Metro Water Co,3243 Maple Rd,Harris,29.690873,-95.290917,667,2020-07-02
SDR-000063,Lone Star Ranch,6753 Cedar Ln,Harris,29.831327,-95.208678,682,2012-01-04
SDR-000064,Gulf Coast Water,7718 Maple Rd,Harris,29.681950,-95.485727,693,2021-12-01
SDR-000065,River City Estates,4749 Cedar Ln,Harris,29.830651,-95.365330,273,2019-07-08
SDR-000066,Lone Star Ranch,3780 Oak Ave,Harris,29.597755,-95.189000,340,2015-04-22
SDR-000067,River City Estates,7561 Maple Rd,Harris,29.570170,-95.471863,586,2024-11-28
SDR-000068,Plains Cotton,4097 Oak Ave,Harris,29.638174,-95.291258,606,2012-02-15
SDR-000069,Plains Cotton,3685 Oak Ave,Harris,29.917464,-95.225624,209,2023-08-14
SDR-000070,Round Rock ISD,2284 Maple Rd,Harris,29.746220,-95.346838,224,2023-11-30
SDR-000071,Plains Cotton,9076 Maple Rd,Harris,29.955557,-95.331619,553,2015-07-27
SDR-000072,Hill Country Ranch,4643 Cedar Ln,Harris,29.857862,-95.379930,365,2022-11-13
